"Achievements.ARCHAEOLOGIST_Description","Kill Doctor Bones."
"BuffName.BrokenArmor","Broken Armor"
"BuffName.Builder","Builder"
"BuffName.BunnyMount","Bunny Mount"
"BuffName.Burning","Burning"
"BuffName.Calm","Calm"
"BuffName.Campfire","Cozy Fire"
"BuffName.CatBast","The Bast Defense"
"BuffName.ChaosState","Chaos State"
"BuffName.ChesterPet","Chester"
"BuffName.Chilled","Chilled"
"BuffName.Clairvoyance","Clairvoyance"
"BuffName.CoffinMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.CoffinMinecartRight","{$BuffName.MinecartRight}"
"BuffName.CompanionCube","Companion Cube"
"BuffName.Confused","Confused"
"BuffName.CoolWhipPlayerBuff","A Nice Buff"
"BuffName.Crate","Crate"
"BuffName.CrimsonHeart","Crimson Heart"
"BuffName.Cursed","Cursed"
"BuffName.CursedInferno","Cursed Inferno"
"BuffName.CursedSapling","Cursed Sapling"
"BuffName.CuteFishronMount","Cute Fishron Mount"
"BuffName.Dangersense","Dangersense"
"BuffName.DarkHorseMount","Dark Horse Mount"
"BuffName.DarkMageBookMount","Book Mount"
"BuffName.Darkness","Darkness"
"BuffName.Daybreak","Daybroken"
"BuffName.Dazed","Dazed"
"BuffName.DD2BetsyPet","Itsy Betsy"
"BuffName.DD2OgrePet","Baby Ogre"
"BuffName.DeadlySphere","Deadly Sphere"
"BuffName.DeerclopsPet","Tiny Deerclops"
"BuffName.DesertMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.DesertMinecartRight","{$BuffName.MinecartRight}"
"BuffName.DestroyerPet","Destroyer-Lite"
"BuffName.DiamondMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.DiamondMinecartRight","{$BuffName.MinecartRight}"
"BuffName.DiggingMoleMinecartLeft","Digging Molecart"
"BuffName.DiggingMoleMinecartRight","Digging Molecart"
"BuffName.DrillMount","Drill Mount"
"BuffName.DryadsWard","Dryad's Blessing"
"BuffName.DryadsWardDebuff","Dryad's Bane"
"BuffName.DukeFishronPet","Tiny Fishron"
"BuffName.DynamiteKitten","Dynamite Kitten"
"BuffName.EaterOfWorldsPet","Eater of Worms"
"BuffName.Electrified","Electrified"
"BuffName.EmeraldMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.EmeraldMinecartRight","{$BuffName.MinecartRight}"
"BuffName.EmpressBlade","Terraprisma"
"BuffName.Endurance","Endurance"
"BuffName.EverscreamPet","Everscream Sapling"
"BuffName.EyeballSpring","Eyeball Spring"
"BuffName.EyeOfCthulhuPet","Suspicious Eye"
"BuffName.FairyBlue","Fairy"
"BuffName.FairyGreen","Fairy"
"BuffName.FairyQueenPet","Fairy Princess"
"BuffName.FairyRed","Fairy"
"BuffName.Featherfall","Featherfall"
"BuffName.FennecFox","Fennec Fox"
"BuffName.Fishing","Fishing"
"BuffName.FishMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.FishMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Flamingo","Flamingo"
"BuffName.FlinxMinion","Flinx"
"BuffName.Flipper","Flipper"
"BuffName.Frostburn","Frostburn"
"BuffName.Frostburn2","Frostbite"
"BuffName.Frozen","Frozen"
"BuffName.GelBalloonBuff","Sparkle Slime"
"BuffName.Gills","Gills"
"BuffName.GlitteryButterfly","Glittery Butterfly"
"BuffName.GlommerPet","Glommer"
"BuffName.GolemPet","Toy Golem"
"BuffName.GolfCartMount","Golf Cart"
"BuffName.Gravitation","Gravitation"
"BuffName.HeartLamp","Heart Lamp"
"BuffName.Heartreach","Heartreach"
"BuffName.HeartyMeal","Hearty Meal"
"BuffName.HellMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.HellMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Honey","Honey"
"BuffName.HornetMinion","Hornet"
"BuffName.Horrified","Horrified"
"BuffName.Hunger","Hungry"
"BuffName.Hunter","Hunter"
"BuffName.IceBarrier","Ice Barrier"
"BuffName.IceQueenPet","Ice Queen"
"BuffName.Ichor","Ichor"
"BuffName.ImpMinion","Imp"
"BuffName.Inferno","Inferno"
"BuffName.Invisibility","Invisibility"
"BuffName.Ironskin","Ironskin"
"BuffName.KingSlimePet","Slime Prince"
"BuffName.LadybugMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.LadybugMinecartRight","{$BuffName.MinecartRight}"
"BuffName.LavaSharkMount","Lava Shark Mount"
"BuffName.LeafCrystal","Leaf Crystal"
"BuffName.Lifeforce","Lifeforce"
"BuffName.LilHarpy","Lil' Harpy"
"BuffName.Lovestruck","Lovestruck"
"BuffName.Lucky","Lucky"
"BuffName.LunaticCultistPet","Phantasmal Dragon"
"BuffName.MagicLantern","Magic Lantern"
"BuffName.MagicPower","Magic Power"
"BuffName.MajesticHorseMount","Majestic Horse Mount"
"BuffName.ManaRegeneration","Mana Regeneration"
"BuffName.ManaSickness","Mana Sickness"
"BuffName.MartianPet","Alien Skater"
"BuffName.MeowmereMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.MeowmereMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Merfolk","Merfolk"
"BuffName.Midas","Midas"
"BuffName.MinecartLeft","Minecart"
"BuffName.MinecartLeftMech","Minecart"
"BuffName.MinecartLeftWood","Minecart"
"BuffName.MinecartRight","Minecart"
"BuffName.MinecartRightMech","Minecart"
"BuffName.MinecartRightWood","Minecart"
"BuffName.MiniMinotaur","Mini Minotaur"
"BuffName.Mining","Mining"
"BuffName.MonsterBanner","Banner"
"BuffName.MoonLeech","Moon Bite"
"BuffName.MoonLordPet","Moonling"
"BuffName.NebulaUpDmg1","Damage Nebula"
"BuffName.NebulaUpDmg2","Damage Nebula"
"BuffName.NebulaUpDmg3","Damage Nebula"
"BuffName.NebulaUpLife1","Life Nebula"
"BuffName.NebulaUpLife2","Life Nebula"
"BuffName.NebulaUpLife3","Life Nebula"
"BuffName.NebulaUpMana1","Mana Nebula"
"BuffName.NebulaUpMana2","Mana Nebula"
"BuffName.NebulaUpMana3","Mana Nebula"
"BuffName.NeutralHunger","Peckish"
"BuffName.NightOwl","Night Owl"
"BuffName.NoBuilding","Creative Shock"
"BuffName.ObsidianSkin","Obsidian Skin"
"BuffName.Obstructed","Obstructed"
"BuffName.OgreSpit","Oozed"
"BuffName.Oiled","Oiled"
"BuffName.OnFire","On Fire!"
"BuffName.OnFire3","Hellfire"
"BuffName.PaintedHorseMount","Painted Horse Mount"
"BuffName.PaladinsShield","Paladin's Shield"
"BuffName.Panic","Panic!"
"BuffName.ParryDamageBuff","Striking Moment"
"BuffName.PartyMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.PartyMinecartRight","{$BuffName.MinecartRight}"
"BuffName.PeaceCandle","Peace Candle"
"BuffName.PetBunny","Pet Bunny"
"BuffName.PetDD2Dragon","Hoardagron"
"BuffName.PetDD2Gato","Propeller Gato"
"BuffName.PetDD2Ghost","Flickerwick"
"BuffName.PetLizard","Pet Lizard"
"BuffName.PetParrot","Pet Parrot"
"BuffName.PetSapling","Pet Sapling"
"BuffName.PetSpider","Pet Spider"
"BuffName.PetTurtle","Pet Turtle"
"BuffName.PigPet","Pig"
"BuffName.PigronMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.PigronMinecartRight","{$BuffName.MinecartRight}"
"BuffName.PigronMount","Pigron Mount"
"BuffName.PirateMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.PirateMinecartRight","{$BuffName.MinecartRight}"
"BuffName.PirateMinion","Pirate"
"BuffName.PirateShipMount","Pirate Ship Mount"
"BuffName.PlanteraPet","Plantera Seedling"
"BuffName.Plantero","Plantero"
"BuffName.PogoStickMount","Pogo Stick Mount"
"BuffName.Poisoned","Poisoned"
"BuffName.PotionSickness","Potion Sickness"
"BuffName.PumpkingPet","Jack 'O Lantern"
"BuffName.Puppy","Puppy"
"BuffName.Pygmies","Pygmies"
"BuffName.QueenBeePet","Honey Bee"
"BuffName.QueenSlimeMount","Winged Slime Mount"
"BuffName.QueenSlimePet","Slime Princess"
"BuffName.Rabies","Feral Bite"
"BuffName.Rage","Rage"
"BuffName.RapidHealing","Rapid Healing"
"BuffName.Ravens","Ravens"
"BuffName.Regeneration","Regeneration"
"BuffName.RubyMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.RubyMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Rudolph","Rudolph"
"BuffName.SantankMount","Santank Mount"
"BuffName.SapphireMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.SapphireMinecartRight","{$BuffName.MinecartRight}"
"BuffName.ScutlixMount","Scutlix Mount"
"BuffName.ScytheWhipPlayerBuff","Harvest Time"
"BuffName.ShadowDodge","Holy Protection"
"BuffName.ShadowFlame","Shadowflame"
"BuffName.ShadowMimic","Shadow Mimic"
"BuffName.ShadowOrb","Shadow Orb"
"BuffName.SharknadoMinion","Sharknado"
"BuffName.SharkPup","Shark Pup"
"BuffName.Sharpened","Sharpened"
"BuffName.Shine","Shine"
"BuffName.ShroomMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.ShroomMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Silenced","Silenced"
"BuffName.SkeletronPet","Skeletron Jr."
"BuffName.SkeletronPrimePet","Mini Prime"
"BuffName.Slimed","Slime"
"BuffName.SlimeMount","Slime Mount"
"BuffName.Slow","Slow"
"BuffName.Smolstar","Enchanted Daggers"
"BuffName.SolarShield1","Solar Blaze"
"BuffName.SolarShield2","Solar Blaze"
"BuffName.SolarShield3","Solar Blaze"
"BuffName.Sonar","Sonar"
"BuffName.SoulDrain","Life Drain"
"BuffName.Spelunker","Spelunker"
"BuffName.SpiderMinion","Spider"
"BuffName.SpookyWoodMount","Tree Mount"
"BuffName.Squashling","Squashling"
"BuffName.StardustDragonMinion","Stardust Dragon"
"BuffName.StardustGuardianMinion","Stardust Guardian"
"BuffName.StardustMinion","Stardust Cell"
"BuffName.StardustMinionBleed","Celled"
"BuffName.StarInBottle","Star in a Bottle"
"BuffName.Starving","Starving"
"BuffName.SteampunkMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.SteampunkMinecartRight","{$BuffName.MinecartRight}"
"BuffName.Stinky","Stinky"
"BuffName.Stoned","Stoned"
"BuffName.StormTiger","Desert Tiger"
"BuffName.Suffocation","Suffocation"
"BuffName.SugarGlider","Sugar Glider"
"BuffName.SugarRush","Sugar Rush"
"BuffName.Summoning","Summoning"
"BuffName.Sunflower","Happy!"
"BuffName.SunflowerMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.SunflowerMinecartRight","{$BuffName.MinecartRight}"
"BuffName.SuspiciousTentacle","Suspicious Looking Eye"
"BuffName.Swiftness","Swiftness"
"BuffName.SwordWhipPlayerBuff","Durendal's Blessing"
"BuffName.TheTongue","The Tongue"
"BuffName.Thorns","Thorns"
"BuffName.ThornWhipPlayerBuff","Jungle's Fury"
"BuffName.TikiSpirit","Tiki Spirit"
"BuffName.Tipsy","Tipsy"
"BuffName.Titan","Titan"
"BuffName.TitaniumStorm","Titanium Barrier"
"BuffName.TopazMinecartLeft","{$BuffName.MinecartLeft}"
"BuffName.TopazMinecartRight","{$BuffName.MinecartRight}"
"BuffName.TurtleMount","Turtle Mount"
"BuffName.TwinEyesMinion","Twins"
"BuffName.TwinsPet","Rez and Spaz"
"BuffName.UFOMinion","UFO"
"BuffName.UFOMount","UFO Mount"
"BuffName.UnicornMount","Unicorn Mount"
"BuffName.UpbeatStar","Estee"
"BuffName.VampireFrog","Vampire Frog"
"BuffName.Venom","Acid Venom"
"BuffName.VoltBunny","Volt Bunny"
"BuffName.VortexDebuff","Distorted"
"BuffName.WallOfFleshGoatMount","Goat Mount"
"BuffName.Warmth","Warmth"
"BuffName.WaterCandle","Water Candle"
"BuffName.WaterWalking","Water Walking"
"BuffName.Weak","Weak"
"BuffName.WeaponImbueConfetti","Weapon Imbue: Confetti"
"BuffName.WeaponImbueCursedFlames","Weapon Imbue: Cursed Flames"
"BuffName.WeaponImbueFire","Weapon Imbue: Fire"
"BuffName.WeaponImbueGold","Weapon Imbue: Gold"
"BuffName.WeaponImbueIchor","Weapon Imbue: Ichor"
"BuffName.WeaponImbueNanites","Weapon Imbue: Nanites"
"BuffName.WeaponImbuePoison","Weapon Imbue: Poison"
"BuffName.WeaponImbueVenom","Weapon Imbue: Acid Venom"
"BuffName.Webbed","Webbed"
"BuffName.WellFed","Well Fed"
"BuffName.WellFed2","Plenty Satisfied"
"BuffName.WellFed3","Exquisitely Stuffed"
"BuffName.Werewolf","Werewolf"
"BuffName.Wet","Wet"
"BuffName.WindPushed","Mighty Wind"
"BuffName.Wisp","Wisp"
"BuffName.WitchBroom","Witch's Broom"
"BuffName.WitheredArmor","Withered Armor"
"BuffName.WitheredWeapon","Withered Weapon"
"BuffName.Wrath","Wrath"
"BuffName.ZephyrFish","Zephyr Fish"
"BunnyChatter.Chatter_1","*Rabbit noises*"
"BunnyChatter.Chatter_2","*Bunny noises*"
"BunnyNames_Angora.Babs","Babs"
"BunnyNames_Angora.BigB","Big B"
"BunnyNames_Angora.Breadbuns","Breadbuns"
"BunnyNames_Angora.Donald","Donald"
"BunnyNames_Angora.Fluffy","Fluffy"
"BunnyNames_Angora.Greg","Greg"
"BunnyNames_Angora.Loaf","Loaf"
"BunnyNames_Angora.Maximus","Maximus"
"BunnyNames_Angora.Muffin","Muffin"
"BunnyNames_Angora.Pom","Pom"
"BunnyNames_Dutch.Domino","Domino"
"BunnyNames_Dutch.Kaguya","Kaguya"
"BunnyNames_Dutch.Mono","Mono"
"BunnyNames_Dutch.Olaf","Olaf"
"BunnyNames_Dutch.Oreo","Oreo"
"BunnyNames_Dutch.Orin","Orin"
"BunnyNames_Dutch.Oz","Oz"
"BunnyNames_Dutch.Panda","Panda"
"BunnyNames_Dutch.Pow","Pow"
"BunnyNames_Dutch.Yang","Yang"
"BunnyNames_Dutch.Yin","Yin"
"BunnyNames_Flemish.Cinnabun","Cinnabun"
"BunnyNames_Flemish.Daisy","Daisy"
"BunnyNames_Flemish.Dusty","Dusty"
"BunnyNames_Flemish.Hazel","Hazel"
"BunnyNames_Flemish.Honeycomb","Honeycomb"
"BunnyNames_Flemish.Jazz","Jazz"
"BunnyNames_Flemish.Loki","Loki"
"BunnyNames_Flemish.Peter","Peter"
"BunnyNames_Flemish.Russell","Russell"
"BunnyNames_Flemish.Sunflower","Sunflower"
"BunnyNames_Flemish.Thumper","Thumper"
"BunnyNames_Flemish.Toby","Toby"
"BunnyNames_Lop.Boof","Boof"
"BunnyNames_Lop.Bunbun","Bunbun"
"BunnyNames_Lop.Caerbannog","Caerbannog"
"BunnyNames_Lop.Dandy","Dandy"
"BunnyNames_Lop.Flappie","Flappie"
"BunnyNames_Lop.Flops","Flops"
"BunnyNames_Lop.Lola","Lola"
"BunnyNames_Lop.Max","Max"
"BunnyNames_Lop.Mochi","Mochi"
"BunnyNames_Lop.Puff","Puff"
"BunnyNames_Lop.Tyler","Tyler"
"BunnyNames_Lop.Veidra","Veidra"
"BunnyNames_Lop.Youp","Youp"
"BunnyNames_Silver.Bugz","Bugz"
"BunnyNames_Silver.Bunnykins","Bunnykins"
"BunnyNames_Silver.Bunstar","Bunstar"
"BunnyNames_Silver.Buster","Buster"
"BunnyNames_Silver.Chrome","Chrome"
"BunnyNames_Silver.Crystal","Crystal"
"BunnyNames_Silver.Dustbunny","Dustbunny"
"BunnyNames_Silver.Dusty","Dusty"
"BunnyNames_Silver.Joshua","Joshua"
"BunnyNames_Silver.Lord","Lord"
"BunnyNames_Silver.Silvine","Silvine"
"BunnyNames_Silver.Vincent","Vincent"
"BunnyNames_Silver.Zach","Zach"
"BunnyNames_White.Alice","Alice"
"BunnyNames_White.Ben","Ben"
"BunnyNames_White.Bunnicula","Bunnicula"
"BunnyNames_White.Donnie","Donnie"
"BunnyNames_White.Ears","Ears"
"BunnyNames_White.Inaba","Inaba"
"BunnyNames_White.Lilia","Lilia"
"BunnyNames_White.Lily","Lily"
"BunnyNames_White.Lisette","Lisette"
"BunnyNames_White.Presto","Presto"
"BunnyNames_White.Roger","Roger"
"BunnyNames_White.Shion","Shion"
"BunnyNames_White.Shirayuki","Shirayuki"
"BunnyNames_White.Skippy","Skippy"
"CatChatter.Chatter_1","Meow!"
"CatChatter.Chatter_2","Purr..."
"CatChatter.Chatter_3","Merrooow!"
"CatNames_Black.Arbus","Arbus"
"CatNames_Black.Bella","Bella"
"CatNames_Black.Damien","Damien"
"CatNames_Black.Ember","Ember"
"CatNames_Black.Esper","Esper"
"CatNames_Black.Figment","Figment"
"CatNames_Black.Gargoyle","Gargoyle"
"CatNames_Black.George","George"
"CatNames_Black.Jaspers","Jaspers"
"CatNames_Black.Jiji","Jiji"
"CatNames_Black.Lilith","Lilith"
"CatNames_Black.Luna","Luna"
"CatNames_Black.Magic","Magic"
"CatNames_Black.Max","Max"
"CatNames_Black.Misu","Misu"
"CatNames_Black.Morgan","Morgan"
"CatNames_Black.Night","Night"
"CatNames_Black.Odin","Odin"
"CatNames_Black.Rascal","Rascal"
"CatNames_Black.Salem","Salem"
"CatNames_Black.Snowball","Snowball"
"CatNames_Black.Tonic","Tonic"
"CatNames_Black.Violet","Violet"
"CatNames_OrangeTabby.Adol","Adol"
"CatNames_OrangeTabby.Bob","Bob"
"CatNames_OrangeTabby.Callie","Callie"
"CatNames_OrangeTabby.Caramel","Caramel"
"CatNames_OrangeTabby.Charlie","Charlie"
"CatNames_OrangeTabby.Critter","Critter"
"CatNames_OrangeTabby.Garfield","Garfield"
"CatNames_OrangeTabby.Hobbes","Hobbes"
"CatNames_OrangeTabby.Leo","Leo"
"CatNames_OrangeTabby.Linkle","Linkle"
"CatNames_OrangeTabby.Lux","Lux"
"CatNames_OrangeTabby.Rascal","Rascal"
"CatNames_OrangeTabby.Remy","Remy"
"CatNames_OrangeTabby.Sassy","Sassy"
"CatNames_OrangeTabby.Sunny","Sunny"
"CatNames_OrangeTabby.Tiger","Tiger"
"CatNames_OrangeTabby.Tigger","Tigger"
"CatNames_OrangeTabby.Tony","Tony"
"CatNames_RussianBlue.Alexi","Alexi"
"CatNames_RussianBlue.Bubbles","Bubbles"
"CatNames_RussianBlue.Cobalt","Cobalt"
"CatNames_RussianBlue.Jocelyn","Jocelyn"
"CatNames_RussianBlue.Lexi","Lexi"
"CatNames_RussianBlue.Light","Light"
"CatNames_RussianBlue.Lily","Lily"
"CatNames_RussianBlue.Lucy","Lucy"
"CatNames_RussianBlue.Momo","Momo"
"CatNames_RussianBlue.Pete","Pete"
"CatNames_RussianBlue.Prissy","Prissy"
"CatNames_RussianBlue.Rion","Rion"
"CatNames_RussianBlue.Ruby","Ruby"
"CatNames_RussianBlue.Starlight","Starlight"
"CatNames_RussianBlue.Tilly","Tilly"
"CatNames_RussianBlue.Valery","Valery"
"CatNames_Siamese.Bandit","Bandit"
"CatNames_Siamese.Callie","Callie"
"CatNames_Siamese.Cleo","Cleo"
"CatNames_Siamese.Goliath","Goliath"
"CatNames_Siamese.Iris","Iris"
"CatNames_Siamese.Nust","Nust"
"CatNames_Siamese.Rainha","Rainha"
"CatNames_Siamese.Sappho","Sappho"
"CatNames_Siamese.Sekhmet","Sekhmet"
"CatNames_Siamese.Socks","Socks"
"CatNames_Siamese.Valerie","Valerie"
"CatNames_Siamese.Zen","Zen"
"CatNames_Silver.Ange","Ange"
"CatNames_Silver.Blaze","Blaze"
"CatNames_Silver.By-Tor","By-Tor"
"CatNames_Silver.Cloud","Cloud"
"CatNames_Silver.Cutie","Cutie"
"CatNames_Silver.Freya","Freya"
"CatNames_Silver.Kanako","Kanako"
"CatNames_Silver.Kelly","Kelly"
"CatNames_Silver.Kiva","Kiva"
"CatNames_Silver.Merlin","Merlin"
"CatNames_Silver.Nana","Nana"
"CatNames_Silver.Polo","Polo"
"CatNames_Silver.Rebus","Rebus"
"CatNames_Silver.Renne","Renne"
"CatNames_Silver.Roo","Roo"
"CatNames_Silver.Sooty","Sooty"
"CatNames_Silver.Trudy","Trudy"
"CatNames_White.Angel","Angel"
"CatNames_White.Ater","Ater"
"CatNames_White.Belle","Belle"
"CatNames_White.Holly","Holly"
"CatNames_White.Ichibi","Ichibi"
"CatNames_White.Misty","Misty"
"CatNames_White.MrCat","Mr. Cat"
"CatNames_White.Reah","Reah"
"CatNames_White.Rory","Rory"
"CatNames_White.Sam","Sam"
"CatNames_White.Snowball","Snowball"
"CatNames_White.Snowdrop","Snowdrop"
"CatNames_White.Storm","Storm"
"CatNames_White.Vincent","Vincent"
"CatNames_White.Yuki","Yuki"
"ChatCommand.Emoji_0","/emoji"
"ChatCommand.Emoji_1","/e"
"ChatCommand.Emote","/me"
"ChatCommand.Help","/help"
"ChatCommand.Party","/p"
"ChatCommand.Playing_0","{$LegacyMultiplayer.6}"
"ChatCommand.Playing_1","{$LegacyMultiplayer.21}"
"ChatCommand.Roll","{$LegacyMultiplayer.8}"
"ChatCommand.RPS","/rps"
"ChatCommandDescription.Emoji","{$ChatCommand.Emoji_1}: Show your emoji"
"ChatCommandDescription.Emote","{$ChatCommand.Emote} message: Send the message in third-person perspective"
"ChatCommandDescription.Help","{$ChatCommand.Help}: Lists all the commands you can use"
"ChatCommandDescription.Party","{$ChatCommand.Party} message: Send the message to your party members"
"ChatCommandDescription.Playing","{$ChatCommand.Playing_0}: List the names of all players on the server"
"ChatCommandDescription.Roll","{$ChatCommand.Roll}: Roll a number from 1 to 100"
"ChatCommandDescription.RPS","{$ChatCommand.RPS}: Randomly uses a Rock, Paper, or Scissors emote"
"CLI.AutomaticPortForward","Automatically forward port? (y/n): "
"CLI.AvailableCommands","Available commands:"
"CLI.Ban_Command","ban"
"CLI.Ban_Description","Bans a player from the server."
"CLI.Ban_Example","ban <player>"
"CLI.Ban_Usage","Usage: ban <player>"
"CLI.BanMessage","Banned from server."
"CLI.ChooseDifficulty","Choose difficulty: "
"CLI.ChooseEvil","Choose world evil: "
"CLI.ChooseSize","Choose size: "
"CLI.ChooseWorld","Choose World: "
"CLI.Clear_Command","clear"
"CLI.Clear_Description","Clear the console window."
"CLI.ClientWasBooted","{0} was booted: {1}"
"CLI.Corrupt","Corrupt"
"CLI.Crimson","Crimson"
"CLI.Dawn_Command","dawn"
"CLI.Dawn_Description","Change time to dawn."
"CLI.DeleteConfirmation","Really delete {0}?"
"CLI.DeleteWorld_Command","d"
"CLI.DeleteWorld_Description","Delete World"
"CLI.DeleteWorld_Example","d <number>"
"CLI.DisplaySeed","World Seed: {0}"
"CLI.Dusk_Command","dusk"
"CLI.Dusk_Description","Change time to dusk."
"CLI.EnterSeed","Enter Seed (Leave Blank For Random):"
"CLI.EnterServerPassword","Server password (press enter for none): "
"CLI.EnterWorldName","Enter world name: "
"CLI.Exit_Command","exit"
"CLI.Exit_Description","Shutdown the server and save."
"CLI.ExitNoSave_Command","exit-nosave"
"CLI.ExitNoSave_Description","Shutdown the server without saving."
"CLI.FPS_Command","fps"
"CLI.Help_Command","help"
"CLI.Help_Description","Displays a list of commands."
"CLI.HelpHint","Type 'help' for a list of commands."
"CLI.InvalidCommand","Invalid command."
"CLI.Kick_Command","kick"
"CLI.Kick_Description","Kicks a player from the server."
"CLI.Kick_Example","kick <player>"
"CLI.Kick_Usage","Usage: kick <player>"
"CLI.KickMessage","Kicked from server."
"CLI.ListeningOnPort","Listening on port {0}"
"CLI.MaxPlayers_Command","maxplayers"
"CLI.MaxPlayers_Description","Print the max number of players."
"CLI.Midnight_Command","midnight"
"CLI.Midnight_Description","Change time to midnight."
"CLI.MOTD","MOTD: {0}"
"CLI.MOTD_Command","motd"
"CLI.MOTD_Description","Print MOTD."
"CLI.NewWorld_Command","n"
"CLI.NewWorld_Description","New World"
"CLI.No","no"
"CLI.NoMOTD","Welcome to {0}!"
"CLI.Noon_Command","noon"
"CLI.Noon_Description","Change time to noon."
"CLI.NoPassword","No password set."
"CLI.NoPlayers","No players connected."
"CLI.NoValidSeed","This world was generated in an older version that did not support seeds."
"CLI.OnePlayerConnected","1 player connected."
"CLI.Password","Password: {0}"
"CLI.Password_Command","password"
"CLI.Password_Description","Show password."
"CLI.PasswordDisabled","Password disabled."
"CLI.PasswordSet","Password: {0}"
"CLI.PlayerLimit","Player limit: {0}"
"CLI.PlayersConnected","{0} players connected."
"CLI.Playing_Command","playing"
"CLI.Playing_Description","Shows the list of players."
"CLI.Port","Port: {0}"
"CLI.Port_Command","port"
"CLI.Port_Description","Print the listening port."
"CLI.Random","Random"
"CLI.Save_Command","save"
"CLI.Save_Description","Save the game world."
"CLI.Say_Command","say"
"CLI.Say_Description","Send a message."
"CLI.Say_Example","say <words>"
"CLI.Say_Usage","Usage: say <words>"
"CLI.Seed_Command","seed"
"CLI.Seed_Description","Displays the world seed."
"CLI.SeedLengthTooLong","The seed entered is too long! (Max characters: {0})"
"CLI.Server","Terraria Server {0}"
"CLI.ServerIsFull","This server is full right now, please try again later."
"CLI.ServerMessage","<Server> {0}"
"CLI.ServerStarted","Server started"
"CLI.SetInitialMaxPlayers","Max players (press enter for 16): "
"CLI.SetInitialPort","Server port (press enter for 7777): "
"CLI.SetMOTD_Command","motd"
"CLI.SetMOTD_Description","Change MOTD."
"CLI.SetMOTD_Example","motd <words>"
"CLI.SetPassword_Command","password"
"CLI.SetPassword_Description","Change password."
"CLI.SetPassword_Example","password <pass>"
"CLI.Settle_Command","settle"
"CLI.Settle_Description","Settle all water."
"CLI.ShortNo","n"
"CLI.ShortYes","y"
"CLI.Time","Time: {0}"
"CLI.Time_Command","time"
"CLI.Time_Description","Display game time."
"CLI.Version_Command","version"
"CLI.Version_Description","Print version number."
"CLI.WaterIsAlreadySettling","Water is already settling"
"CLI.WorldNameLengthTooLong","The world name entered is too long! (Max characters: {0})"
"CLI.Yes","yes"
"ClothierNames.Alfred","Alfred"
"ClothierNames.Arthur","Arthur"
"ClothierNames.Benjamin","Benjamin"
"ClothierNames.Cedric","Cedric"
"ClothierNames.Clive","Clive"
"ClothierNames.Cyril","Cyril"
"ClothierNames.Edgar","Edgar"
"ClothierNames.Edmund","Edmund"
"ClothierNames.Edward","Edward"
"ClothierNames.Eustace","Eustace"
"ClothierNames.Fitz","Fitz"
"ClothierNames.Graham","Graham"
"ClothierNames.Henry","Henry"
"ClothierNames.Herald","Herald"
"ClothierNames.James","James"
"ClothierNames.Lincoln","Lincoln"
"ClothierNames.Lloyd","Lloyd"
"ClothierNames.Mervyn","Mervyn"
"ClothierNames.Nigel","Nigel"
"ClothierNames.Pip","Pip"
"ClothierNames.Rodney","Rodney"
"ClothierNames.Rodrick","Rodrick"
"ClothierNames.Roland","Roland"
"ClothierNames.Rupert","Rupert"
"ClothierNames.Sebastian","Sebastian"
"ClothierSpecialText.Graveyard1","I've been cursed! Take me to the hospital!"
"ClothierSpecialText.Graveyard2","It's a big graveyard, we'll divide it up! The dead stay in their half, we'll stay in ours!"
"ClothierSpecialText.Party","Mama always said you've got to put the past behind you before you can party on."
"ClothierSpecialText.Rain1","It's raining alright! Little bitty stingin' big ol' fat sideways rain! At least it ain't coming from straight up underneath us!"
"ClothierSpecialText.Rain2","One day it started raining like this, and it didn't quit for four days!"
"ClothierSpecialText.Storm1","Remember to keep breathing, because eventually this storm will pass!"
"ClothierSpecialText.Storm2","If it wasn't storming, everyone would go outside. It's the lightning that makes it dangerous."
"ClothierSpecialText.Windy1","Sometimes, I guess there's just not enough windmills."
"ClothierSpecialText.Windy2","The air has certainly got it, today!"
"CommonBestiaryFlavor.AngryBones","Cursed with undeath, the former inhabitants of the Dungeon roam endlessly through its halls, seeking a victim for their unending fury."
"CommonBestiaryFlavor.AntlionCharger","The soldiers of the antlion species, Antlion Chargers ferociously chase after intruders with a surprising speed."
